Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"Basic Instinct 4K","Studio Canal",AU,,9317731160004,August 25 2021,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"The Bat","The Film Detective",US,818522013169,0818522013169,October 20 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Battles Without Honour and Humanity: The Complete Collection","Arrow",UK,,5027035023335,July 5 2021,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"The Beast","Arrow",UK,,5027035011240,September 8 2014,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Beast Must Die","Powerhouse Films",UK,,5060697920512,June 29 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Beast Within","Shout Factory",US,826663145762,0826663145762,December 17 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Beetlejuice","Warner Bros.",AU,,9325336044230,December 3 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Belle de Jour","Universal Sony Pictures Home Entertainment",AU,,9317731134265,March 7 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"La Belle et la Bête","BFI Video",UK,,5035673013083,August 6 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Beverly Hills Cop - 3 Movie Collection","Paramount Pictures",AU,,9324915040281,March 6 2013,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"Beware My Brethren","88 Films",UK,,5060710971378,July 25 2022,-1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Beware! Children at Play","Vinegar Syndrome",US,814456024745,0814456024745,February 22 2022,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Bewitched","88 Films",UK,,5060496451422,October 9 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Beyond","Shock",AU,,9345228001660,November 20 2013,1,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"Beyond the Darkness","Umbrella Entertainment",AU,,9344256012105,June 3 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"The Big Lebowski 4K","Universal Sony Pictures Home Entertainment",AU,,9317731140198,October 17 2018,0,Standard Blu-ray case,0,2,0,1,,0,,,,
"The Big Sleazy — Jack Weis Double Feature","Severin Films",US,760137103264,0760137103264,June 28 2022,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Bird with the Crystal Plumage","Shock",AU,,9345228002506,August 5 2015,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Bitter Moon","Kino Lorber",US,738329237639,0738329237639,May 21 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Black Candles","Code Red",US,,,August 30 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Black Magic","88 Films",UK,,5060103797707,October 31 2016,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Black Moon Rising","Arrow",UK,,5027035019505,April 15 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Black Sabbath","Arrow",UK,,5027035017518,December 18 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Black Sunday","Shock",AU,,,August 5 2015,1,Standard Blu-ray case,0,1,-1,0,April 25 2018,0,,,,
"Black Test Car + The Black Report","Arrow",UK,,5027035022192,August 24 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blackenstein","Severin Films",US,663390001608,0663390001608,May 30 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blacula - The Complete Collection","Eureka Entertainment",UK,,5060000701470,October 27 2014,0,Standard Blu-ray case,0,1,2,0,,0,,,,
"A Blade in the Dark","88 Films",UK,,5037899048368,August 24 2015,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Blade Runner 4K","Roadshow Entertainment",AU,,9398700037770,September 20 2017,0,Standard Blu-ray case,0,2,1,0,,0,,,,
"The Blair Witch Project","Icon Productions",AU,,9339065005837,December 1 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blind Beast","Arrow",UK,,5027035023519,August 23 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blood and Black Lace","Arrow",UK,,5027035018836,March 26 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blood Bath","Arrow",UK,,5027035014708,May 30 2016,0,Standard Blu-ray case,1,2,0,0,,0,,,,
"Blood for Dracula 4K","Severin Films",US,195893458721,0195893458721,June 25 2021,0,DigiPack,0,2,0,0,,0,,,,
"Blood from the Mummy's Tomb","Universal Sony Pictures Home Entertainment",AU,,9317731137198,March 7 2018,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Blood Hunger: The Films of José Larraz","Arrow",US,760137229483,0760137229483,March 26 2019,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"Blood Rage","Arrow",UK,,5027035015750,January 23 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Blood Simple","Universal Sony Pictures Home Entertainment",AU,,9317731141850,March 7 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blood Suckers from Outer Space","Vinegar Syndrome",US,814456021560,0814456021560,May 29 2018,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Bloodstained Shadow","88 Films",UK,,5037899048238,May 25 2015,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Bloodstone","Arrow",UK,,5027035021850,July 20 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Bloodsucking Freaks","Troma",AU,,9341005008396,August 23 2017,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Bloodsucking Pharaohs in Pittsburgh","88 Films",UK,,5037899064177,October 5 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Bloodthirsty Trilogy","Arrow",UK,,5027035019253,May 14 2018,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"Bloody Birthday","88 Films",UK,,5037899047774,June 23 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Bloody Birthday","Arrow",US,760137198482,0760137198482,December 18 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Bloody Moon","Severin Films",US,663390000274,0663390000274,July 8 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Bloody Terror: The Shocking Cinema of Norman J Warren, 1976-1987","Powerhouse Films",UK,,5060697920000,August 12 2019,0,DigiPack,1,5,0,0,,0,,,,
"Blow Out","Umbrella Entertainment",AU,,9344256004865,July 4 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Blue Collar","Powerhouse Films",UK,712962792779,5037899071359,January 22 2018,0,Standard Blu-ray case,1,1,0,0,,0,,,,
