Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"Dead Kids","Glass Doll Films",AU,,9341005006927,March 23 2016,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Dead Men Don't Wear Plaid","Shock",AU,,5021456216741,June 6 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Dead Next Door","Tempe Digital",US,822928120093,,December 18 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Dead of Winter","88 Films",UK,,5037899048252,May 18 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dead Ringers","Umbrella Entertainment",AU,,9344256007910,August 7 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Deadtime Stories","Shout Factory",US,826663173444,0826663173444,February 28 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Death Line","Network",UK,,5027626818845,August 27 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Death on the Nile","Studio Canal",AU,,9317731137655,October 25 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Death Screams","Arrow",UK,,5027035023717,September 13 2021,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Death Ship","Umbrella Entertainment",AU,,9344256009600,May 25 2014,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Death Smiles on a Murderer","Arrow",UK,,5027035019017,May 21 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Death Warmed Up","Umbrella Entertainment",AU,,9344256018763,April 3 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Death Wish 4 : The Crackdown / Death Wish 5: The Face of Death","Umbrella Entertainment",AU,,9344256017247,May 2 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Death Wish II / Death Wish 3","Umbrella Entertainment",AU,,9344256015823,August 2 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Death Wish II 4K","Vinegar Syndrome",US,814456025155,0814456025155,May 31 2022,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"The Deep","Umbrella Entertainment",AU,,9344256005459,August 1 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Deep Blood","Severin Films",US,760137492283,0760137492283,April 27 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Deep Red","Umbrella Entertainment",AU,,9344256006968,November 6 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"The Deer Hunter","Universal Studios",AU,,5050582590579,November 19 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Deer Hunter 4K","Shout Factory",US,826663202762,0826663202762,May 26 2020,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"Delicatessen","Universal Studios",AU,,5050582801354,September 1 2010,0,DigiBook,0,1,0,0,,0,,,,
"Delirium","88 Films",UK,,5060103799206,May 15 2017,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Deliverance","Warner Bros.",AU,,9325336036686,September 11 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Delta Force","Arrow",UK,,5027035010892,May 5 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Demonia","Arrow",UK,,5027035023892,June 6 2022,0,DigiPack,1,2,0,0,,0,,,,
"The Demoniacs","Redemption",US,738329095826,0738329095826,May 29 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Demons of the Mind","Universal Sony Pictures Home Entertainment",AU,,9317731137235,March 7 2018,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Deranged","Arrow",UK,,5027035016597,September 18 2017,0,Standard Blu-ray case,1,1,-1,0,,0,,,,
"Devil Fish","Code Red",US,738329232641,0738329232641,July 3 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Devil Hunter / Cannibal Terror","Severin Films",US,663390000649,0663390000649,August 18 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Devil Rides Out","Shock",AU,,5021456192465,March 6 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"The Devonsville Terror","88 Films",UK,,5060103798803,December 26 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dirty Harry / Magnum Force","Warner Bros.",AU,,9325336162019,August 1 2012,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Django 4K","Arrow",US,760137665694,0760137665694,August 3 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dog Day Afternoon","Warner Bros.",AU,,9325336035627,July 4 2007,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dogs","88 Films",UK,,5060496451354,January 8 2018,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dolls","Umbrella Entertainment",AU,,9344256012389,September 2 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"The Don Is Dead","Imprint",AU,,9337369029900,April 27 2022,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Don't Go in the Woods","88 Films",UK,,5037899048085,March 2 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Don't Look Now","Umbrella Entertainment",AU,,9344256009457,February 5 2014,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Don't Look Now 4K","Studio Canal",US,,5055201842190,August 9 2019,0,Standard Blu-ray case,1,3,0,0,,0,,,,
"Donnie Brasco","Universal Sony Pictures Home Entertainment",AU,,9317731138553,October 4 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Doom Asylum","Arrow",UK,,5027035019406,July 16 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Dorm That Dripped Blood","Synapse Films",US,654930312599,0654930312599,April 26 2011,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Dr Jekyll and Sister Hyde","Universal Sony Pictures Home Entertainment",AU,,9317731137204,March 7 2018,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Dr. Jekyll and Mr. Hyde","Kino Lorber",US,738329122126,0738329122126,January 28 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dr. Phibes Rises Again!","Shock",AU,,9345228002254,April 30 2014,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Dr. Terror's House of Horrors","Screenbound Pictures",UK,,5060425350826,June 27 2016,0,,0,1,0,0,,0,,,,
"Dracula","Universal Studios",AU,,9317731110931,November 6 2014,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Dracula A.D. 1972","Warner Bros.",US,888574722630,0888574722630,October 16 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dracula: Complete Legacy Collection","Universal Sony Pictures Home Entertainment",AU,,9317731133985,May 17 2017,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"Dracula: Prince of Darkness","Shock",AU,,5021456190553,March 6 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"Dragged Across Concrete","Icon Film Distribution",AU,,9339065010657,November 27 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dragnet","Shock",AU,,5021456216956,July 4 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dream Demon","Arrow",UK,,5027035021324,June 22 2020,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"Dressed to Kill","Visual Entertainment Group",AU,,9345228001257,June 5 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"Drive-In Massacre","88 Films",UK,,5060103796892,July 25 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Dune 4K","Arrow",UK,,5027035023571,October 18 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Eaten Alive","Glass Doll Films",AU,,9341005006576,December 9 2015,0,Standard Blu-ray case,0,1,-1,0,April 25 2018,0,,,,
"Eaten Alive!","Severin Films",US,663390002223,0663390002223,February 13 2018,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Eating Raoul","Criterion",US,715515098519,0715515098519,September 25 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Emanuelle and the Last Cannibals","88 Films",UK,,5037899048399,January 11 2016,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Emmanuelle & Emmanuelle 2","Umbrella Entertainment",AU,,9344256018084,November 7 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Enchanting Ghost","88 Films",UK,,5060496451347,February 26 2018,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Enemy Mine","Umbrella Entertainment",AU,,9344256013621,May 4 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Enforcer / Sudden Impact","Warner Bros.",AU,,9325336162002,August 1 2012,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Enter the Dragon","Warner Bros.",AU,,9325336033616,March 14 2007,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Enter the Ninja / Revenge of the Ninja","Umbrella Entertainment",AU,,9344256015779,June 7 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Erotic Nights of the Living Dead","Code Red",US,,9780788611674,June 15 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Escape from Alcatraz","Paramount Pictures",AU,,9324915040311,March 6 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Escape from New York 4K","Universal Sony Pictures Home Entertainment",AU,,9317731150746,April 10 2019,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"Escape to Athena","Beyond Home Entertainment",AU,,9318500034045,December 8 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Eurocrypt of Christopher Lee Collection","Severin Films",US,760137538783,0760137538783,June 22 2021,0,Cardboard sleeve,0,8,0,0,,0,,,,
"The Eurocrypt of Christopher Lee Collection 2","Severin Films",US,760137104636,0760137104636,July 26 2022,0,Cardboard sleeve,0,6,0,0,,0,,,,
"Event Horizon","Paramount Pictures",AU,,9324915036574,December 30 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Every Which Way But Loose","Warner Bros.",AU,,9325336103210,August 30 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Evil Dead","Sony Pictures",AU,,9317731079054,October 27 2010,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Evil Dead 2 4K","Studio Canal",AU,,9317731154713,September 25 2019,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"Evil Ed","Arrow",UK,,5027035021621,February 3 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Evil Under the Sun","Universal Sony Pictures Home Entertainment",AU,,9317731137679,October 25 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Evilspeak","88 Films",UK,,5060103796816,January 25 2016,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"The Exorcist","Warner Bros.",AU,,9325336111178,October 27 2010,-1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Experiment in Terror","Powerhouse Films",UK,,5037899069943,April 24 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Exterminator","Arrow",UK,,5027035007212,December 9 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Exterminator 2","101 Films",UK,,5037899065594,September 5 2016,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Eye of the Cat","Powerhouse Films",UK,,5060697921465,June 28 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Eyes of Laura Mars","Powerhouse Films",UK,,5037899071137,November 20 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Eyes Without a Face","BFI Video",UK,,5035673011904,August 24 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Fair Game","Umbrella Entertainment",AU,,9344256016899,January 3 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Fast Times At Ridgemont High","Universal Studios",AU,,5050582846201,July 27 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Fear City","Shock",AU,,5021456199099,February 5 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Fear in the Night","Universal Sony Pictures Home Entertainment",AU,,9317731137181,March 7 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Fear No Evil","Shout Factory",US,826663202168,0826663202168,September 24 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Felicity / Centrespread","Umbrella Entertainment",AU,,9344256018381,January 2 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Female Prisoner Scorpion: The Complete Collection","Arrow",UK,,5027035021355,October 28 2019,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"Female Vampire","Redemption",US,738329105624,0738329105624,October 16 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ferris Bueller's Day Off","Paramount Pictures",AU,,9324915036796,June 16 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Fifth Cord","Arrow",UK,,5027035020204,February 4 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Final Exam","Shout Factory",US,826663149852,0826663149852,May 13 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Final Terror","Shout Factory",US,826663150667,0826663150667,July 1 2014,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Firefox / Heartbreak Ridge","Warner Bros.",AU,,9325336161982,August 1 2012,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"First Blood 4K","Universal Sony Pictures Home Entertainment",AU,,9317731150753,May 8 2019,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"The First Power","88 Films",UK,,5060103797677,October 10 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"A Fish Called Wanda","20th Century Fox",AU,,9321337135212,January 25 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Five Dolls for an August Moon","Arrow",UK,,5027035013671,February 1 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Flesh Eater","Shriek Show",US,631595100693,0631595100693,August 31 2010,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Flesh Eating Mothers","88 Films",UK,,5060103796878,May 23 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Flesh For Frankenstein","Shock",AU,,9318500013316,February 5 2014,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"FleshEater 4K","Vinegar Syndrome",US,814456025148,0814456025148,April 26 2022,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"The Fly: Ultimate Collection","Via Vision Entertainment",AU,,9337369010014,March 8 2017,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"The Fog 4K","Universal Sony Pictures Home Entertainment",AU,,9317731150722,April 10 2019,0,Standard Blu-ray case,0,3,0,0,,0,,,,
"The Forbidden Photos of a Lady Above Suspicion","Arrow",UK,,5027035020075,January 14 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Forbidden World","Shout Factory",US,826663200904,0826663200904,August 13 2019,0,SteelBook,0,1,0,0,,0,,,,
"A Force of One","Reel",AU,,9397911266184,July 5 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Forest","Code Red",US,,,June 7 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Four Film Noir Classics","Arrow",UK,,5027035022482,July 13 2020,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"The Four Skulls of Jonathan Drake","Shout Factory",US,826663176322,0826663176322,June 27 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Fragment of Fear","Powerhouse Films",UK,,5037899071045,October 23 2017,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Frankenhooker","Arrow",UK,,5027035006703,December 9 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Frankenstein and the Monster From Hell","Shock",AU,,5021456196364,October 2 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"Frankenstein Created Woman","Shock",AU,,5021456196357,October 2 2013,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"Frankenstein: Complete Legacy Collection","Universal Sony Pictures Home Entertainment",AU,,9317731133992,May 17 2017,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"Friday the 13th","Warner Bros.",AU,,9325336048511,June 29 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Friday the 13th Part 2","Paramount Pictures",AU,,9324915036703,October 1 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Friday the 13th Part III","Paramount Pictures",AU,,9324915036710,October 1 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Friends of Eddie Coyle","Eureka Entertainment",UK,,5060000701807,January 25 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Fright Night","Sony Pictures",AU,,9317731108679,October 2 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Frighteners","Universal Studios",AU,,5050582858570,October 5 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Frightmare","88 Films",UK,,5060496452474,September 10 2018,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"From a Whisper to a Scream","Shout Factory",US,826663156386,0826663156386,April 28 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"From Beyond","Umbrella Entertainment",AU,,9344256009471,May 6 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"From Beyond the Grave","Warner Bros.",US,883929696277,0883929696277,October 8 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"From Hell It Came","Warner Bros.",US,888574477837,0888574477837,April 25 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Full Metal Jacket","Warner Bros.",AU,,9325336037706,December 3 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Funhouse","Shock",AU,,5021456216277,April 4 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Funny Man","Screenbound Pictures",UK,,5060425351663,September 4 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Fury","Shock",AU,,9345228002230,April 30 2014,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Galaxy of Terror","Shout Factory",US,826663200898,0826663200898,August 13 2019,0,SteelBook,0,1,0,0,,0,,,,
"Gamera: The Heisei Era","Arrow",UK,,5027035022659,January 25 2021,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"Gamera: The Showa Era","Arrow",UK,,5027035022642,January 25 2021,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"Gas Food Lodging","Arrow",UK,,5027035019932,November 12 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Gaslight","BFI Video",UK,,5035673011683,November 18 2013,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"George A. Romero: Between Night and Dawn","Arrow",UK,,5027035017594,October 23 2017,0,Standard Blu-ray case,1,3,3,0,,0,,,,
"Get Carter 4K","BFI Video",UK,,5035673000038,August 1 2022,0,Standard Blu-ray case,1,2,0,0,,0,,,,
"The Ghost Lovers","88 Films",UK,,5060496451361,March 12 2018,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ghost Story","Second Sight",UK,,5028836040491,December 7 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ghost Town","88 Films",UK,,5060103797691,December 26 2016,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ghostbusters","Sony Pictures",AU,,9317731050398,June 15 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ghosthouse / Witchery","Shout Factory",US,826663159226,0826663159226,June 30 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ghostkeeper","Code Red",US,,,August 18 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Ghoulies","Glass Doll Films",AU,,9341005007436,July 20 2016,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Ghoulies II","Glass Doll Films",AU,,9341005007504,December 7 2016,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Giants and Toys","Arrow",UK,,5027035022932,May 10 2021,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Girl Most Likely To . . .","Kino Lorber",US,738329237790,0738329237790,June 11 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Girls Nite Out","Arrow",UK,,5027035024233,May 16 2022,1,Standard Blu-ray case,0,1,-1,0,,0,,,,
"God Told Me To","Blue Underground",US,827058705097,0827058705097,February 24 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Godfather Collection 4K","Paramount Pictures",AU,,9317731169830,March 23 2022,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"The Godfather Trilogy","Paramount Pictures",AU,,9317731135194,August 16 2017,0,DigiPack,1,4,0,0,,0,,,,
"Gone with the Wind","Warner Bros.",AU,,9325336193280,October 29 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Good Guys Wear Black","Reel",AU,,9397911266283,July 5 2012,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"GoodFellas","Warner Bros.",AU,,9325336032657,March 14 2007,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Gorgon","Via Vision Entertainment",AU,,9337369009773,October 5 2016,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Gosford Park","Arrow",UK,,5027035019949,November 26 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Graduate","Studio Canal",AU,,9317731134067,August 16 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Graduation Day","88 Films",UK,,5037899047897,October 13 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Grapes of Death","Redemption",US,738329113124,0738329113124,April 23 2013,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Great Alligator","Code Red",US,,,July 18 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Great Outdoors","Shock",AU,,5021456215447,July 4 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Great White Silence / The Epic of Everest","BFI Video",UK,,5035673011911,January 27 2014,1,Standard Blu-ray case,0,2,2,0,,0,,,,
"Grizzly","88 Films",UK,,5060496451545,May 14 2018,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Halloween","Beyond Home Entertainment",AU,,9318500030405,October 27 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Halloween 4: The Return of Michael Myers","Umbrella Entertainment",AU,,9344256008498,October 2 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Halloween 5: The Revenge of Michael Myers","Umbrella Entertainment",AU,,9344256008504,October 2 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Halloween II","Via Vision Entertainment",AU,,9337369005126,October 16 2013,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Halloween III: Season of the Witch","Via Vision Entertainment",AU,,9337369005119,December 4 2013,-1,Standard Blu-ray case,-1,1,-1,0,April 25 2018,0,,,,
"Hammer Horror 8-Film Collection","Universal Studios",US,025192369162,0025192369162,September 13 2016,0,Standard Blu-ray case,0,4,0,0,,0,,,,
"Hammer Horror Classics, Volume One","Warner Bros.",US,883929458585,0883929458585,October 6 2015,0,Custom,0,4,0,0,,0,,,,
"Hammer House of Horror: The Complete Series","Network",UK,,5027626809942,October 23 2017,1,Standard Blu-ray case,0,3,0,0,,0,,,,
"Hammer Volume One: Fear Warning!","Powerhouse Films",UK,,5037899071274,October 30 2017,0,Standard Blu-ray case,1,4,0,0,,0,,,,
"Hammer Volume Three: Blood & Terror","Powerhouse Films",UK,,5037899071472,July 30 2018,0,Standard Blu-ray case,1,4,0,0,,0,,,,
"Hammer Volume Two: Criminal Intent","Powerhouse Films",UK,,5037899071281,February 19 2018,0,Standard Blu-ray case,1,4,0,0,,0,,,,
"Hands of Steel","88 Films",UK,,5060103799145,December 26 2016,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Hands of the Ripper","Network",UK,,5027626706340,August 18 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Happy Birthday to Me","Shock",AU,,5021456208876,January 6 2016,1,Standard Blu-ray case,0,1,-1,0,April 25 2018,0,,,,
"Hard Rock Zombies / Slaughterhouse Rock","Vinegar Syndrome",US,814456024943,0814456024943,March 29 2022,1,Standard Blu-ray case,0,2,0,0,,0,,,,
"Hard Times","Eureka Entertainment",UK,,5060000702422,April 24 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Hatchet for the Honeymoon","Shock",AU,,9345228002834,April 1 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Heat","Warner Bros.",AU,,9325336060919,October 17 2009,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Hellbound: Hellraiser II","Umbrella Entertainment",AU,,9344256002915,October 5 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Hellraiser","Umbrella Entertainment",AU,,9344256002366,October 5 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Hellraiser III: Hell on Earth","Umbrella Entertainment",AU,,9344256018046,October 3 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Henry: Portrait of a Serial Killer","MPI Media Group",US,030306197296,0030306197296,December 6 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Henry: Portrait of a Serial Killer 4K","Arrow",UK,,5027035023663,April 18 2022,0,Standard Blu-ray case,1,2,0,0,,0,,,,
"Hex","88 Films",UK,,5060103797578,September 26 2016,1,Standard Blu-ray case,0,1,1,0,,0,,,,
"Hide and Go Shriek","88 Films",UK,,5060103799282,July 10 2017,0,Standard Blu-ray case,1,1,1,0,,0,,,,
"The Hills Have Eyes","Arrow",UK,,5027035015989,July 31 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Hired to Kill","Arrow",UK,,5027035014692,May 16 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Hitch-Hike","88 Films",UK,,5037899048351,December 7 2015,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Homebodies","Kino Lorber",US,738329256043,0738329256043,November 2 2021,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Horror Express","Arrow",UK,,5027035020037,February 11 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Horror of Dracula","Warner Bros.",US,888574561376,0888574561376,December 18 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Horror of Frankenstein","Universal Sony Pictures Home Entertainment",AU,,9317731137228,March 7 2018,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Horrors of Malformed Men","Arrow",UK,,5027035019574,September 17 2018,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Hound of the Baskervilles","Shock",AU,,9345228002391,July 2 2014,0,Standard Blu-ray case,0,1,1,0,April 25 2018,0,,,,
"House","Eureka Entertainment",UK,,5060000702903,February 12 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The House by the Cemetery","Shock",AU,,9345228001684,November 20 2013,1,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"House of 1000 Corpses","Umbrella Entertainment",AU,,9344256014147,September 7 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"House of Psychotic Women Rarities Collection","Severin Films",US,760137110781,0760137110781,October 25 2022,0,Standard Blu-ray case,0,5,0,0,,0,,,,
"The House on Sorority Row","Shock",AU,,9345228002971,September 2 2015,1,Standard Blu-ray case,0,1,-1,0,April 25 2018,0,,,,
"The House on Sorority Row","88 Films",UK,,5060496451415,October 23 2017,1,Standard Blu-ray case,1,1,0,0,,0,,,,
"The House That Dripped Blood","Second Sight",UK,,5028836040989,July 29 2019,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"The House That Vanished / The Eerie Midnight Horror Show","Dark Force Entertainment",US,611677351625,0611677351625,March 20 2018,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"House: The Collection","Arrow",UK,,5027035020761,June 10 2019,0,Standard Blu-ray case,0,4,0,0,,0,,,,
